named_labels,model,variable,horizon_years,value
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,0.0,-0.0003773436166487882
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,0.25,-0.0003725014593123217
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,0.5,-0.00036591532032365
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,1.0,-0.00034907936156667544
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,2.0,-0.0003082893331976338
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,3.0,-0.000266395316240499
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,5.0,-0.00019482317302494702
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,7.5,-0.00013315151782749838
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,10.0,-9.44162661838141e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,15.0,-5.297650572171081e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,20.0,-3.1946669051475546e-05
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,30.0,-9.960333859456194e-06
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.50,output_deviation_linear,40.0,-7.686005147056333e-07
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,0.0,-0.0003773436166487882
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,0.25,-0.00035797958674068113
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,0.5,-0.0003396092549839094
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,1.0,-0.0003056483294855185
claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,automation_persistence_0.81,output_deviation_linear,2.0,-0.0002475751468832701
