object,theta_deg,positive
impact_output_deviation_linear,0.0,True
impact_output_deviation_linear,5.0,True
impact_output_deviation_linear,10.0,True
impact_output_deviation_linear,15.0,True
impact_output_deviation_linear,20.0,True
impact_output_deviation_linear,25.0,True
impact_output_deviation_linear,30.0,True
impact_output_deviation_linear,35.0,True
impact_output_deviation_linear,40.0,True
impact_output_deviation_linear,45.0,True
impact_output_deviation_linear,50.0,True
impact_output_deviation_linear,55.0,True
impact_output_deviation_linear,60.0,True
impact_output_deviation_linear,65.0,True
impact_output_deviation_linear,70.0,True
impact_output_deviation_linear,75.0,True
impact_output_deviation_linear,77.39997951365545,True
impact_output_deviation_linear,80.0,True
impact_output_deviation_linear,85.0,True
impact_output_deviation_linear,90.0,True
impact_output_deviation_linear,95.0,True
impact_output_deviation_linear,100.0,True
impact_output_deviation_linear,101.54778070317035,True
impact_output_deviation_linear,105.0,True
impact_output_deviation_linear,110.0,True
impact_output_deviation_linear,115.0,True
impact_output_deviation_linear,115.95220609217762,False
impact_output_deviation_linear,120.0,False
impact_output_deviation_linear,125.0,False
impact_output_deviation_linear,130.0,False
impact_output_deviation_linear,135.0,False
impact_output_deviation_linear,140.0,False
impact_output_deviation_linear,145.0,False
impact_output_deviation_linear,150.0,False
impact_output_deviation_linear,151.80492206398452,False
impact_output_deviation_linear,155.0,False
impact_output_deviation_linear,160.0,False
impact_output_deviation_linear,165.0,False
impact_output_deviation_linear,170.0,False
impact_output_deviation_linear,175.0,False
impact_output_deviation_linear,180.0,False
impact_output_deviation_linear,185.0,False
impact_output_deviation_linear,190.0,False
impact_output_deviation_linear,195.0,False
impact_output_deviation_linear,200.0,False
impact_output_deviation_linear,205.0,False
impact_output_deviation_linear,210.0,False
impact_output_deviation_linear,215.0,False
impact_output_deviation_linear,220.0,False
impact_output_deviation_linear,225.0,False
impact_output_deviation_linear,230.0,False
impact_output_deviation_linear,235.0,False
impact_output_deviation_linear,240.0,False
impact_output_deviation_linear,245.0,False
impact_output_deviation_linear,250.0,False
impact_output_deviation_linear,255.0,False
impact_output_deviation_linear,257.39997951365547,False
impact_output_deviation_linear,260.0,False
impact_output_deviation_linear,265.0,False
impact_output_deviation_linear,270.0,False
impact_output_deviation_linear,275.0,False
impact_output_deviation_linear,280.0,False
impact_output_deviation_linear,281.54778070317036,False
impact_output_deviation_linear,285.0,False
impact_output_deviation_linear,290.0,False
impact_output_deviation_linear,295.0,False
impact_output_deviation_linear,295.9522060921776,True
impact_output_deviation_linear,300.0,True
impact_output_deviation_linear,305.0,True
impact_output_deviation_linear,310.0,True
impact_output_deviation_linear,315.0,True
impact_output_deviation_linear,320.0,True
impact_output_deviation_linear,325.0,True
impact_output_deviation_linear,330.0,True
impact_output_deviation_linear,331.8049220639845,True
impact_output_deviation_linear,335.0,True
impact_output_deviation_linear,340.0,True
impact_output_deviation_linear,345.0,True
impact_output_deviation_linear,350.0,True
impact_output_deviation_linear,355.0,True
impact_wage_income_deviation_linear,0.0,True
impact_wage_income_deviation_linear,5.0,True
impact_wage_income_deviation_linear,10.0,True
impact_wage_income_deviation_linear,15.0,True
impact_wage_income_deviation_linear,20.0,True
impact_wage_income_deviation_linear,25.0,True
impact_wage_income_deviation_linear,30.0,True
impact_wage_income_deviation_linear,35.0,True
impact_wage_income_deviation_linear,40.0,True
impact_wage_income_deviation_linear,45.0,True
impact_wage_income_deviation_linear,50.0,True
impact_wage_income_deviation_linear,55.0,True
impact_wage_income_deviation_linear,60.0,True
impact_wage_income_deviation_linear,65.0,True
impact_wage_income_deviation_linear,70.0,True
impact_wage_income_deviation_linear,75.0,True
impact_wage_income_deviation_linear,77.39997951365545,False
impact_wage_income_deviation_linear,80.0,False
impact_wage_income_deviation_linear,85.0,False
impact_wage_income_deviation_linear,90.0,False
impact_wage_income_deviation_linear,95.0,False
impact_wage_income_deviation_linear,100.0,False
impact_wage_income_deviation_linear,101.54778070317035,False
impact_wage_income_deviation_linear,105.0,False
impact_wage_income_deviation_linear,110.0,False
impact_wage_income_deviation_linear,115.0,False
impact_wage_income_deviation_linear,115.95220609217762,False
impact_wage_income_deviation_linear,120.0,False
impact_wage_income_deviation_linear,125.0,False
impact_wage_income_deviation_linear,130.0,False
impact_wage_income_deviation_linear,135.0,False
impact_wage_income_deviation_linear,140.0,False
impact_wage_income_deviation_linear,145.0,False
impact_wage_income_deviation_linear,150.0,False
impact_wage_income_deviation_linear,151.80492206398452,False
impact_wage_income_deviation_linear,155.0,False
impact_wage_income_deviation_linear,160.0,False
impact_wage_income_deviation_linear,165.0,False
impact_wage_income_deviation_linear,170.0,False
impact_wage_income_deviation_linear,175.0,False
impact_wage_income_deviation_linear,180.0,False
