model,family,regime,impact_object,coefficient_cos,coefficient_sin,amplitude,zero_angle_1_deg,zero_angle_2_deg,maximizing_angle_deg,positive_arc_start_deg,positive_arc_end_deg,dz_per_dalpha_at_zero,standardized_productivity_per_standardized_automation_at_zero
baseline,brownian_innovation_short_window,optimal_inherited_position,z_deviation,0.001635794186284235,1.0016350571484189e-19,0.001635794186284235,270.0,90.0,3.508354649267438e-15,270.0,90.0,3.91886975727153e-16,1.8369701987210297e-16
baseline,brownian_innovation_short_window,optimal_inherited_position,x_deviation,0.0,0.01022371366427647,0.01022371366427647,0.0,180.0,90.0,0.0,180.0,,
baseline,brownian_innovation_short_window,optimal_inherited_position,alpha_deviation_linear,0.0,0.0007667785248207352,0.0007667785248207352,0.0,180.0,90.0,0.0,180.0,,
baseline,brownian_innovation_short_window,optimal_inherited_position,log_capital_deviation,0.0,0.0,0.0,,,,,,,
baseline,brownian_innovation_short_window,optimal_inherited_position,capital_deviation_linear,0.0,0.0,0.0,,,,,,,
baseline,brownian_innovation_short_window,optimal_inherited_position,tax_rate_deviation,0.0,0.0,0.0,,,,,,,
baseline,brownian_innovation_short_window,optimal_inherited_position,tax_speed,-0.00022787469733207065,-0.0004250721930794552,0.0004822999554359926,151.8049220639845,331.80492206398446,241.8049220639845,151.8049220639845,331.80492206398446,-3.979470687998496,-1.8653768849992949
baseline,brownian_innovation_short_window,optimal_inherited_position,capital_growth_drift_deviation,9.847923862856972e-05,0.00018370089539006382,0.00020843267356144993,331.8049220639845,151.80492206398452,61.80492206398451,331.8049220639845,151.80492206398452,-3.979470687998499,-1.8653768849992962
baseline,brownian_innovation_short_window,optimal_inherited_position,output_deviation_linear,0.0005792896389915866,0.00028194050736123945,0.0006442568862915753,295.9522060921776,115.95220609217762,25.95220609217761,295.9522060921776,115.95220609217762,-1.0382942174102658,-0.4867004144110621
baseline,brownian_innovation_short_window,optimal_inherited_position,rental_rate_deviation_linear,0.00019695847725713944,0.00036740179078012763,0.00041686534712289986,331.8049220639845,151.80492206398452,61.80492206398451,331.8049220639845,151.80492206398452,-3.979470687998499,-1.8653768849992962
baseline,brownian_innovation_short_window,optimal_inherited_position,wage_income_deviation_linear,0.00038233116173444715,-8.546128341888819e-05,0.0003917661907270911,257.39997951365547,77.39997951365547,347.39997951365547,257.39997951365547,77.39997951365547,0.47685729774124985,0.22352685831621089
baseline,brownian_innovation_short_window,optimal_inherited_position,tax_base_deviation_linear,0.00019695847725713944,0.00036740179078012763,0.00041686534712289986,331.8049220639845,151.80492206398452,61.80492206398451,331.8049220639845,151.80492206398452,-3.979470687998499,-1.8653768849992962
baseline,brownian_innovation_short_window,optimal_inherited_position,tax_revenue_deviation_linear,9.847923862856972e-05,0.00018370089539006382,0.00020843267356144993,331.8049220639845,151.80492206398452,61.80492206398451,331.8049220639845,151.80492206398452,-3.979470687998499,-1.8653768849992962
baseline,brownian_innovation_short_window,optimal_inherited_position,fiscal_resources_deviation_linear,0.00048081040036301685,9.823961197117563e-05,0.0004907439887125381,281.54778070317036,101.54778070317036,11.547780703170345,281.54778070317036,101.54778070317035,-0.4358845788560489,-0.20432089633877287
baseline,brownian_innovation_short_window,optimal_inherited_position,planner_resource_wealth_deviation,0.02127034880665512,0.03621870294810974,0.04200264493576789,329.5753370696663,149.57533706966632,59.575337069666325,329.5753370696663,149.57533706966632,-3.632595167650727,-1.702778984836278
baseline,brownian_innovation_short_window,optimal_inherited_position,planner_resource_wealth_wage_component_deviation,0.0194901734587361,0.03289800500285603,0.038238012430297175,329.3557007923882,149.35570079238818,59.355700792388205,329.35570079238823,149.3557007923882,-3.600912573782227,-1.6879277689604189
baseline,brownian_innovation_short_window,optimal_inherited_position,planner_resource_wealth_capital_tax_component_deviation,0.001780175347919013,0.0033206979452537083,0.0037677657985802117,331.8049220639845,151.80492206398452,61.80492206398451,331.8049220639845,151.80492206398452,-3.979470687998499,-1.8653768849992962
baseline,brownian_innovation_short_window,optimal_inherited_position,public_net_worth_deviation,0.0007303646820457227,0.0013624053955079486,0.001545826973011184,331.80492206398446,151.80492206398446,61.80492206398445,331.80492206398446,151.80492206398446,-3.97947068799849,-1.8653768849992922
baseline,brownian_innovation_short_window,optimal_inherited_position,worker_comprehensive_resources_deviation,0.022000713488700842,0.03758110834361769,0.04354734318355868,329.6544620793192,149.65446207931922,59.6544620793192,329.6544620793192,149.65446207931922,-3.644110504608245,-1.7081767990351149
