direction,amplitude,error_k,error_tau
productivity,1.0,1.217926134507337e-05,1.7739554326008395e-05
productivity,0.5,3.0419366577460073e-06,4.446109519588024e-06
productivity,0.25,7.601222935005618e-07,1.112929929121824e-06
productivity,0.125,1.8998530915262163e-07,2.7840793715788953e-07
productivity,0.0625,4.749106026396611e-08,6.962392260404069e-08
automation,1.0,0.000145857666397773,0.00037198696731779654
automation,0.5,3.7056345071787705e-05,9.441602229877215e-05
automation,0.25,9.33536487857144e-06,2.3775452252689476e-05
automation,0.125,2.3425785427521294e-06,5.964909546438395e-06
automation,0.0625,5.867260993417962e-07,1.4938344889013546e-06
