direction,route,terminal_convention,horizon,amplitude,z0,x0,accepted,n_mesh_nodes,solver_max_rms_residual,failure_message
productivity,warm_start,lq_stable_manifold,40.0,0.0,-1.806616591576036,0.0,True,161,4.69390047230299e-16,
productivity,warm_start,lq_stable_manifold,40.0,0.25,-1.804116591576036,0.0,True,208,9.961322707918481e-11,
productivity,warm_start,lq_stable_manifold,40.0,0.5,-1.8016165915760358,0.0,True,248,9.985232812144014e-11,
productivity,warm_start,lq_stable_manifold,40.0,1.0,-1.796616591576036,0.0,True,288,9.772401516698402e-11,
productivity,crude_direct,lq_stable_manifold,40.0,0.0,-1.806616591576036,0.0,True,161,4.69390047230299e-16,
productivity,crude_direct,lq_stable_manifold,40.0,0.25,-1.804116591576036,0.0,True,208,9.961322697134471e-11,
productivity,crude_direct,lq_stable_manifold,40.0,0.5,-1.8016165915760358,0.0,True,248,9.985232727959563e-11,
productivity,crude_direct,lq_stable_manifold,40.0,1.0,-1.796616591576036,0.0,True,288,9.772401513579881e-11,
automation,warm_start,lq_stable_manifold,40.0,0.0,-1.806616591576036,0.0,True,161,4.69390047230299e-16,
automation,warm_start,lq_stable_manifold,40.0,0.25,-1.806616591576036,0.03338284815613068,True,287,9.968755351964409e-11,
automation,warm_start,lq_stable_manifold,40.0,0.5,-1.806616591576036,0.06676569631226136,True,345,9.949555345323002e-11,
automation,warm_start,lq_stable_manifold,40.0,1.0,-1.806616591576036,0.1335313926245227,True,417,9.953804227297745e-11,
automation,crude_direct,lq_stable_manifold,40.0,0.0,-1.806616591576036,0.0,True,161,4.69390047230299e-16,
automation,crude_direct,lq_stable_manifold,40.0,0.25,-1.806616591576036,0.03338284815613068,True,287,9.96875535830214e-11,
automation,crude_direct,lq_stable_manifold,40.0,0.5,-1.806616591576036,0.06676569631226136,True,345,9.949555358949062e-11,
automation,crude_direct,lq_stable_manifold,40.0,1.0,-1.806616591576036,0.1335313926245227,True,417,9.953804028460145e-11,
